Date,PG,SG,SF,PF,C,G,F,UTIL
11/20/2017,Russell Westbrook (0),Victor Oladipo (0),Bojan Bogdanovic (0),Noah Vonleh (0),Dwight Howard (0),Kyrie Irving (0),Wesley Matthews (0),Dirk Nowitzki (0)
11/22/2017,Russell Westbrook (0),Jeremy Lamb (0),Khris Middleton (0),Greg Monroe (0),John Collins (0),Tim Hardaway Jr. (0),Zach Randolph (0),Jeff Teague (0)
11/24/2017,Kyle Lowry (0),Terry Rozier (0),Courtney Lee (0),LeBron James (0),Jusuf Nurkic (0),Fred VanVleet (0),Jordan Bell (0),Nikola Jokic (0)
11/25/2017,Elfrid Payton (0),James Harden (0),Michael Beasley (0),Otto Porter (0),Kyle O'Quinn (0),T.J. McConnell (0),Anthony Davis (0),Buddy Hield (0)
11/26/2017,Mike James (0),Jimmy Butler (0),Denzel Valentine (0),James Johnson (0),Karl-Anthony Towns (0),Tyus Jones (0),DeMarre Carroll (0),Trevor Booker (0)
11/27/2017,James Harden (0),Kentavious Caldwell-Pope (0),Lance Stephenson (0),LaMarcus Aldridge (0),Andre Drummond (0),Juan Jose Barea (0),Patrick McCaw (0),Willie Cauley-Stein (0)
11/28/2017,Tyler Ulis (0),Jimmy Butler (0),Devin Booker (0),Kevin Love (0),Alex Len (0),Justin Holiday (0),Derrick Favors (0),Kris Dunn (0)
11/29/2017,Ben Simmons (0),Kelly Oubre Jr. (0),Andrew Wiggins (0),Aaron Gordon (0),Gorgui Dieng (0),Kyle Lowry (0),Brandon Ingram (0),Tyus Jones (0)
11/30/2017,Alec Burks (0),Will Barton (0),Ersan Ilyasova (0),Dario Saric (0),Jusuf Nurkic (0),Gary Harris (0),LeBron James (0),Khris Middleton (0)
12/1/2017,Rajon Rondo (0),Victor Oladipo (0),Paul George (0),Markieff Morris (0),Andre Drummond (0),Alec Burks (0),Zach Randolph (0),Donovan Mitchell (0)
12/2/2017,Jamal Murray (0),Devin Booker (0),Tyreke Evans (0),Robert Covington (0),Tyson Chandler (0),Juan Jose Barea (0),J.R. Smith (0),Giannis Antetokounmpo (0)
12/3/2017,Russell Westbrook (0),Austin Rivers (0),Davis Bertans (0),Enes Kanter (0),Nikola Vucevic (0),Jimmy Butler (0),Kyle Kuzma (0),Dejounte Murray (0)
12/4/2017,Alec Burks (0),Jrue Holiday (0),Devin Booker (0),Draymond Green (0),Tyson Chandler (0),Stephen Curry (0),E'Twaun Moore (0),Jimmy Butler (0)
12/5/2017,Russell Westbrook (0),Donovan Mitchell (0),Devin Booker (0),Serge Ibaka (0),Greg Monroe (0),Bradley Beal (0),Thabo Sefolosha (0),Mike Scott (0)
12/6/2017,Jarrett Jack (0),Buddy Hield (0),Kevin Durant (0),Zach Randolph (0),Nikola Vucevic (0),Tyler Johnson (0),Maxi Kleber (0),DeMarcus Cousins (0)
12/7/2017,Lonzo Ball (0),Brandon Ingram (0),Markieff Morris (0),Greg Monroe (0),Joel Embiid (0),Caris LeVert (0),Ryan Anderson (0),Chris Paul (0)
12/8/2017,Emmanuel Mudiay (0),Kris Dunn (0),Marvin Williams (0),Kevin Durant (0),Dwight Howard (0),Wesley Matthews (0),Zach Randolph (0),Nikola Vucevic (0)
12/9/2017,,,,,,,,
