,GID,Date,Name,DK Sal,Team,Opp,Team_pts,Start,H/A,Minutes,DKP,as,bl,fga,fgm,fta,ftm,pt,rb,st,to,trey,DoubleD,TripleD,DRPM,ORPM,RPM,WINS,DK pos,Opp_DRPM,Opp_ORPM,Opp_RPM,Opp_WINS,PG,SG,SF,PF,C,G,F,UTIL,perfect_pg,perfect_sg,perfect_sf,perfect_pf,perfect_c,perfect_g,perfect_f,perfect_util,perfect_player,player_rolling_avg,player_rolling_pg_avg,player_rolling_sg_avg,player_rolling_sf_avg,player_rolling_pf_avg,player_rolling_c_avg,player_rolling_g_avg,player_rolling_f_avg,player_rolling_util_avg,player_rolling_team_pts_avg,perfect_player_rolling_avg,last_as,last_pt,last_fga,last_fgm,last_fta,last_ftm,last_rb,last_DK_Sal,last_DKP,last_bl,last_st,last_to,last_trey,last_DoubleD,last_TripleD,last_minutes,last_perfect_pg,last_perfect_sg,last_perfect_sf,last_perfect_pf,last_perfect_c,last_perfect_g,last_perfect_f,last_perfect_util,last_perfect_player,5avg_as,5avg_pt,5avg_fga,5avg_fgm,5avg_fta,5avg_ftm,5avg_rb,5avg_DK_Sal,5avg_DKP,5avg_bl,5avg_st,5avg_to,5avg_trey,5avg_DoubleD,5avg_TripleD,5avg_minutes,5std_as,5std_pt,5std_fga,5std_fgm,5std_fta,5std_ftm,5std_rb,5std_DK_Sal,5std_DKP,5std_bl,5std_st,5std_to,5std_trey,5std_DoubleD,5std_TripleD,5std_minutes,5med_as,5med_pt,5med_fga,5med_fgm,5med_fta,5med_ftm,5med_rb,5med_DK_Sal,5med_DKP,5med_bl,5med_st,5med_to,5med_trey,5med_DoubleD,5med_TripleD,5med_minutes,DKPavgper1k
9161,4086,2017-12-13,Nicolas Batum,6000,3,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,-0.85,-0.96,0.2,23,-0.07,-1.48,-1.55,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,7.4,7.4,2.8,2.0,1.2,4.8,5980.0,22.4,0.4,1.0,2.0,0.6,0.2,0.0,26.8,3.65,6.27,5.9,2.39,3.46,2.17,4.21,268.33,16.24,0.55,0.71,1.58,0.89,0.45,0.0,17.35,4.0,9.0,8.0,3.0,0.0,0.0,5.0,6100.0,30.25,0.0,1.0,2.0,0.0,0.0,0.0,35.58,1.83
9159,3510,2017-12-13,Carmelo Anthony,6500,7,23,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.71,1.62,1.77,34,1.46,-0.18,1.28,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.81,0.0,2.0,11.0,12.0,5.0,0.0,0.0,2.0,6700.0,17.5,1.0,0.0,3.0,1.0,0.0,0.0,34.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,13.2,16.2,5.4,3.0,1.6,7.2,6560.0,28.3,0.8,0.8,1.0,0.8,0.2,0.0,34.76,1.3,4.71,4.82,1.14,3.46,2.07,3.42,89.44,9.38,0.84,1.1,1.22,0.84,0.45,0.0,2.4,2.0,11.0,19.0,5.0,2.0,1.0,8.0,6500.0,30.25,1.0,0.0,1.0,1.0,0.0,0.0,34.85,4.67
9154,4788,2017-12-13,Josh Richardson,4500,2,6,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,-2.94,-1.45,0.66,23,0.44,-3.12,-2.68,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,100.5,0.04,2.0,17.0,9.0,5.0,5.0,4.0,5.0,4600.0,28.75,1.0,0.0,2.0,3.0,0.0,0.0,29.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,16.0,10.2,6.0,2.2,1.8,3.2,4620.0,24.7,0.8,0.2,1.6,2.2,0.0,0.0,31.81,0.55,8.19,2.59,3.32,1.92,1.48,2.17,109.54,7.91,0.45,0.45,0.89,1.3,0.0,0.0,1.79,2.0,17.0,10.0,5.0,2.0,2.0,2.0,4600.0,25.0,1.0,0.0,2.0,3.0,0.0,0.0,31.48,4.4
9152,4224,2017-12-13,James Harden,11600,1,3,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26,8.07,7.81,4.76,12,0.03,-1.24,-1.21,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.68,0.28,0.04,0.0,0.0,0.0,0.04,0.0,0.0,115.04,0.36,17.0,26.0,16.0,8.0,9.0,6.0,1.0,11600.0,66.75,0.0,6.0,3.0,4.0,1.0,0.0,34.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.4,33.6,21.6,10.6,9.6,8.4,5.2,11480.0,59.2,0.0,2.6,2.6,4.0,0.4,0.0,35.61,5.81,8.85,4.83,3.71,2.61,2.51,2.95,342.05,10.62,0.0,2.07,1.14,0.0,0.55,0.0,0.97,9.0,29.0,22.0,8.0,9.0,9.0,5.0,11600.0,59.0,0.0,2.0,3.0,4.0,0.0,0.0,35.3,4.97
9150,4112,2017-12-13,Robin Lopez,4700,25,5,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,-2.44,-2.17,0.32,5,1.3,-1.87,-0.57,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,97.52,0.04,2.0,7.0,7.0,3.0,2.0,1.0,4.0,4900.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,24.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,13.4,9.2,5.8,2.4,1.8,5.4,5160.0,24.05,1.2,0.0,2.4,0.0,0.2,0.0,31.37,0.55,4.62,3.77,2.28,1.52,1.3,2.7,296.65,7.74,0.84,0.0,1.67,0.0,0.45,0.0,7.47,2.0,14.0,7.0,5.0,2.0,1.0,5.0,5100.0,24.75,1.0,0.0,2.0,0.0,0.0,0.0,30.52,5.16
9148,4379,2017-12-13,Kyrie Irving,8200,30,9,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,4.39,4.47,3.02,1,-3.45,-1.16,-4.61,-0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,103.24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.4,15.0,8.0,3.2,3.0,2.0,8460.0,29.1,0.4,0.6,2.0,2.4,0.0,0.0,27.1,2.0,14.28,9.49,5.79,2.17,2.0,1.58,288.1,17.84,0.89,0.89,1.58,2.3,0.0,0.0,15.22,1.0,23.0,18.0,10.0,4.0,4.0,2.0,8500.0,35.5,0.0,0.0,2.0,2.0,0.0,0.0,33.6,4.3
9155,4212,2017-12-13,Jrue Holiday,7200,11,22,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-0.36,-0.35,1.31,12,-1.31,-1.22,-2.53,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.11,0.07,0.07,0.0,0.0,0.0,0.04,0.0,0.0,110.68,0.18,5.0,37.0,21.0,16.0,2.0,1.0,4.0,6600.0,60.5,1.0,4.0,2.0,4.0,0.0,0.0,41.48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.2,29.2,19.0,11.6,3.8,3.0,4.0,6700.0,46.6,0.8,1.6,3.4,3.0,0.0,0.0,38.7,1.1,9.26,3.94,3.65,2.77,2.55,1.87,308.22,12.62,0.84,1.52,1.67,1.87,0.0,0.0,2.67,5.0,34.0,21.0,12.0,3.0,2.0,4.0,6600.0,50.0,1.0,1.0,3.0,4.0,0.0,0.0,38.02,4.74
9184,5227,2017-12-13,Lauri Markkanen,5200,25,5,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,-0.31,0.16,1.11,4,-1.51,-0.86,-2.37,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,97.52,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,12.6,11.4,5.0,1.4,1.4,6.6,5640.0,23.95,0.6,0.4,1.4,1.2,0.2,0.0,25.27,0.89,8.62,6.43,3.08,2.19,2.19,4.34,336.15,15.35,0.89,0.89,1.14,1.1,0.45,0.0,14.19,0.0,13.0,14.0,5.0,0.0,0.0,7.0,5600.0,28.75,0.0,0.0,1.0,1.0,0.0,0.0,30.95,5.42
9183,4107,2017-12-13,DeAndre Jordan,7300,17,20,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,-1.66,-0.55,0.94,5,0.25,-0.42,-0.17,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,104.92,0.04,4.0,14.0,9.0,6.0,2.0,2.0,17.0,7300.0,47.75,2.0,1.0,2.0,0.0,1.0,0.0,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,13.8,8.4,6.0,3.2,1.8,16.8,7080.0,41.1,1.4,0.4,1.8,0.0,0.8,0.0,33.24,1.67,4.71,2.3,2.45,0.84,0.45,3.19,228.04,6.28,0.89,0.55,0.84,0.0,0.45,0.0,1.64,2.0,14.0,8.0,6.0,3.0,2.0,17.0,7100.0,40.25,2.0,0.0,2.0,0.0,1.0,0.0,33.78,4.53
9182,4627,2017-12-13,Victor Oladipo,9200,23,7,0.0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,1.83,2.36,2.27,12,-0.38,0.31,-0.07,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.81,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.15,6.0,47.0,28.0,15.0,13.0,11.0,7.0,9000.0,71.75,1.0,2.0,4.0,6.0,0.0,0.0,45.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,31.8,20.8,11.2,7.2,5.0,7.0,8700.0,54.15,1.2,2.0,3.8,4.4,0.0,0.0,37.71,1.67,11.43,6.72,3.56,4.44,3.74,1.22,406.2,15.29,1.3,1.0,0.84,1.52,0.0,0.0,5.61,5.0,33.0,22.0,11.0,7.0,5.0,7.0,8900.0,54.0,1.0,2.0,4.0,4.0,0.0,0.0,38.77,4.44
