RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
77,"Mario Chalmers, PG",MEM,19,24.8,-0.41,1.24,0.83,1.18
78,"Goran Dragic, PG",MIA,21,32.7,2.04,-1.10,0.94,1.68
79,"Danilo Gallinari, SF",LAC,9,31.9,-1.01,0.35,-0.66,0.45
80,"Eric Gordon, SG",HOU,19,31.6,2.32,-0.68,1.64,1.65
81,"George Hill, PG",SAC,19,26.0,-1.32,-0.24,-1.56,0.43
82,"Serge Ibaka, PF",TOR,18,26.9,-0.22,-0.01,-0.23,0.86
83,"DeAndre Jordan, C",LAC,19,32.4,-1.66,1.11,-0.55,0.94
84,"Kosta Koufos, C",SAC,21,19.1,-2.01,0.87,-1.14,0.47
85,"Courtney Lee, SG",NY,21,32.7,1.39,-0.95,0.44,1.42
86,"Robin Lopez, C",CHI,19,29.8,-2.44,0.27,-2.17,0.32
87,"Brook Lopez, C",LAL,21,23.2,-0.47,1.18,0.71,1.19
88,"Kevin Love, PF",CLE,21,29.4,0.94,0.11,1.05,1.54
89,"Luc Mbah a Moute, PF",HOU,19,26.5,-0.46,2.48,2.02,1.44
90,"JaVale McGee, C",GS,19,8.1,-0.85,-0.24,-1.09,0.21
91,"Derrick Rose, PG",CLE,7,26.9,-1.44,-1.92,-3.36,-0.03
92,"Marreese Speights, PF",ORL,17,12.0,0.55,0.18,0.73,0.47
93,"Russell Westbrook, PG",OKC,20,35.3,2.75,1.10,3.85,3.04
94,"Bobby Brown, PG",HOU,15,6.7,-1.43,-1.06,-2.49,0.04
95,"Omri Casspi, SF",GS,18,13.8,-0.36,1.48,1.12,0.63
96,"Bojan Bogdanovic, SF",IND,22,31.0,1.11,-1.27,-0.16,1.20
97,"Patrick Beverley, PG",LAC,11,30.4,-0.06,-0.05,-0.11,0.64
98,"DeMarre Carroll, SF",BKN,19,29.7,0.54,1.03,1.57,1.68
99,"Darren Collison, PG",IND,22,31.9,2.85,-0.12,2.73,2.48
100,"Dante Cunningham, SF",NO,21,23.5,-1.63,0.07,-1.56,0.50
101,"Stephen Curry, PG",GS,20,32.6,6.53,0.21,6.74,4.22
102,"DeMar DeRozan, SG",TOR,20,34.3,2.04,-1.19,0.85,1.69
103,"Wayne Ellington, SG",MIA,21,19.6,2.06,-1.16,0.90,0.92
