RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
323,"Semi Ojeleye, PF",BOS,21,13.7,-2.33,-0.02,-2.35,0.14
324,"Sterling Brown, SG",MIL,5,5.8,-1.31,-0.02,-1.33,0.03
325,"Demetrius Jackson, PG",HOU,11,5.5,-2.20,-0.36,-2.56,0.02
326,"Tyler Ennis, PG",LAL,10,5.6,-1.02,-0.05,-1.07,0.08
327,"Frank Mason III, PG",SAC,14,17.2,-0.63,-1.70,-2.33,0.09
328,"Wayne Selden, SG",MEM,2,9.5,-1.42,0.21,-1.21,0.02
329,"Joel Embiid, C",PHI,18,29.6,0.32,2.85,3.17,1.92
330,"Andrew Wiggins, SF",MIN,22,36.8,0.68,-1.19,-0.51,1.24
331,"Isaiah Taylor, PG",ATL,13,16.1,-0.56,-0.30,-0.86,0.30
332,"Josh Hart, SG",LAL,16,13.8,-1.75,0.20,-1.55,0.19
333,"David Nwaba, PG",CHI,8,21.0,-1.17,0.81,-0.36,0.29
334,"Kay Felder, PG",CHI,12,10.5,-2.32,-1.57,-3.89,-0.06
335,"Alec Peters, PF",PHX,2,7.0,-1.75,0.31,-1.44,0.02
336,"Antonius Cleveland, SG",DAL,5,3.4,-1.18,-0.25,-1.43,0.02
337,"Aaron Gordon, PF",ORL,20,32.9,1.90,-1.19,0.71,1.45
338,"Rondae Hollis-Jefferson, SF",BKN,18,27.1,-0.54,-1.22,-1.76,0.45
339,"Jabari Bird, SG",BOS,2,8.0,-1.08,-0.43,-1.51,0.01
340,"Jordan Bell, PF",GS,16,9.5,-0.16,1.26,1.10,0.38
341,"Delon Wright, PG",TOR,14,20.9,0.26,-0.46,-0.20,0.57
342,"Bobby Portis, PF",CHI,11,22.5,-0.86,-1.51,-2.37,0.11
343,"Andrew Harrison, SG",MEM,14,15.7,-2.14,-0.75,-2.89,0.03
344,"Julius Randle, PF",LAL,21,22.2,-0.91,0.87,-0.04,0.83
345,"Dakari Johnson, C",OKC,11,6.9,-1.47,1.49,0.02,0.14
346,"Jarell Martin, PF",MEM,19,18.1,-2.72,1.16,-1.56,0.31
347,"Jordan Mickey, C",MIA,4,9.3,-1.39,0.51,-0.88,0.05
348,"Sindarius Thornwell, SG",LAC,19,16.4,-2.17,0.02,-2.15,0.19
349,"Terry Rozier, PG",BOS,22,23.5,1.01,0.13,1.14,1.31
350,"Wesley Iwundu, SF",ORL,5,5.0,-1.57,-0.46,-2.03,0.02
351,"Noah Vonleh, PF",POR,14,22.8,-2.10,1.10,-1.00,0.39
352,"Troy Williams, SF",HOU,4,4.3,-1.49,-0.12,-1.61,0.02
353,"Derrick White, PG",SA,4,5.3,-1.13,-0.26,-1.39,0.02
354,"Clint Capela, C",HOU,21,25.9,-0.43,2.12,1.69,1.47
355,"Jusuf Nurkic, C",POR,21,28.0,-2.98,2.00,-0.98,0.74
356,"Kristaps Porzingis, PF",NY,19,31.5,1.49,0.45,1.94,1.85
357,"Nikola Jokic, C",DEN,20,30.0,3.01,2.94,5.95,3.41
358,"Bruno Caboclo, SF",TOR,2,3.5,-1.14,-0.02,-1.16,0.01
359,"Cristiano Felicio, C",CHI,18,15.4,-2.46,-0.74,-3.20,-0.01
360,"Kelly Oubre Jr., SF",WSH,21,28.1,0.20,-0.79,-0.59,0.88
361,"Myles Turner, C",IND,15,28.9,-1.15,1.33,0.18,0.82
362,"Stanley Johnson, SF",DET,17,29.6,-1.52,0.26,-1.26,0.53
363,"Kyle Kuzma, PF",LAL,20,31.3,0.01,-2.18,-2.17,0.39
364,"Jakob Poeltl, C",TOR,20,14.9,-0.76,1.28,0.52,0.67
365,"Tyus Jones, PG",MIN,22,18.2,0.15,0.04,0.19,0.67
366,"Justise Winslow, SF",MIA,21,22.8,-1.84,0.95,-0.89,0.64
367,"Jahlil Okafor, C",PHI,2,12.5,-1.86,0.41,-1.45,0.03
368,"Devin Booker, SG",PHX,22,33.4,1.48,-2.12,-0.64,1.12
369,"Tyler Ulis, PG",PHX,22,22.6,-2.11,-1.87,-3.98,-0.24
370,"Karl-Anthony Towns, C",MIN,22,34.3,1.72,-1.77,-0.05,1.38
371,"Trey Lyles, PF",DEN,15,9.3,-1.15,-0.29,-1.44,0.14
372,"Isaiah Whitehead, SG",BKN,7,12.7,-1.83,0.09,-1.74,0.05
373,"D.J. Wilson, PF",MIL,8,4.3,-1.75,0.20,-1.55,0.02
374,"D'Angelo Russell, PG",BKN,12,27.8,-0.12,-1.31,-1.43,0.38
375,"Gian Clavell, SG",DAL,7,9.1,-0.59,-0.56,-1.15,0.08
376,"Patrick McCaw, SG",GS,20,13.0,-0.51,-1.33,-1.84,0.19
377,"Rashad Vaughn, SG",MIL,9,7.2,-1.00,-0.56,-1.56,0.06
378,"Justin Jackson, SF",SAC,17,18.2,-2.33,-1.71,-4.04,-0.18
379,"Daniel Hamilton, SG",OKC,1,4.0,-1.32,-0.48,-1.80,0.00
380,"Pascal Siakam, PF",TOR,19,21.0,0.04,1.54,1.58,1.16
381,"Chris McCullough, PF",WSH,4,8.5,-1.00,-0.56,-1.56,0.02
382,"Dillon Brooks, SF",MEM,20,29.7,-2.51,1.14,-1.37,0.62
383,"Kevon Looney, SF",GS,15,11.7,-1.06,0.82,-0.24,0.31
384,"Domantas Sabonis, C",IND,20,25.5,0.40,-0.41,-0.01,0.94
385,"Emmanuel Mudiay, PG",DEN,20,22.5,-1.16,-3.45,-4.61,-0.42
386,"Zhou Qi, PF",HOU,11,5.3,-1.92,-0.25,-2.17,0.04
387,"Cedi Osman, SF",CLE,13,4.8,-1.01,-0.22,-1.23,0.07
388,"Timothe Luwawu-Cabarrot, SG",PHI,19,16.4,-0.94,-0.70,-1.64,0.29
389,"Paul Zipser, SF",CHI,16,16.3,-3.19,-1.23,-4.42,-0.20
390,"Henry Ellenson, PF",DET,7,11.4,-1.76,1.33,-0.43,0.13
391,"Caleb Swanigan, PF",POR,13,9.8,-2.37,0.73,-1.64,0.12
392,"Antonio Blakeney, SG",CHI,9,16.1,-1.17,-1.18,-2.35,0.06
393,"Ben Simmons, PG",PHI,19,35.4,0.50,2.25,2.75,2.34
394,"Marquese Chriss, PF",PHX,23,20.0,-2.10,0.45,-1.65,0.41
395,"Dejounte Murray, PG",SA,21,19.7,-1.75,0.57,-1.18,0.50
396,"Dwayne Bacon, SF",CHA,20,19.1,-2.73,-0.43,-3.16,-0.01
397,"Malik Beasley, SG",DEN,19,8.4,-1.10,-0.68,-1.78,0.14
398,"Donovan Mitchell, SG",UTAH,21,28.3,-0.25,-0.47,-0.72,0.87
399,"John Collins, PF",ATL,20,22.9,-0.48,-0.42,-0.90,0.65
400,"Jawun Evans, PG",LAC,12,12.3,-1.21,-0.83,-2.04,0.10
401,"Luke Kennard, SG",DET,15,16.1,-0.81,-0.45,-1.26,0.23
402,"Brandon Ingram, SF",LAL,21,33.8,-1.85,-0.42,-2.27,0.36
403,"Tyler Dorsey, SG",ATL,7,6.6,-1.20,-0.75,-1.95,0.03
404,"Jaylen Brown, SG",BOS,21,32.2,0.80,1.57,2.37,2.24
405,"Ivan Rabb, PF",MEM,1,1.0,-1.26,-0.08,-1.34,0.00
406,"Cheick Diallo, PF",NO,14,7.8,-1.67,-1.18,-2.85,0.02
407,"Nicolas Brussino, SF",ATL,4,2.5,-1.28,-0.10,-1.38,0.01
408,"Furkan Korkmaz, SG",PHI,5,2.4,-0.91,-0.69,-1.60,0.01
409,"Tyler Lydon, PF",DEN,1,2.0,-1.31,-0.14,-1.45,0.00
410,"Malachi Richardson, SG",SAC,12,11.7,-0.83,-0.86,-1.69,0.12
411,"OG Anunoby, SF",TOR,20,18.8,0.99,0.70,1.69,1.10
412,"Derrick Jones Jr., SF",PHX,6,5.5,-0.91,-0.67,-1.58,0.04
413,"Skal Labissiere, PF",SAC,21,17.8,-2.30,-0.18,-2.48,0.14
414,"Jamal Murray, PG",DEN,20,26.8,0.31,-1.05,-0.74,0.79
415,"Deyonta Davis, C",MEM,8,11.5,-1.44,0.88,-0.56,0.13
416,"Dragan Bender, PF",PHX,23,21.4,-1.86,-1.66,-3.52,-0.11
417,"Ivica Zubac, C",LAL,5,2.4,-1.67,0.62,-1.05,0.02
418,"Ante Zizic, PF",CLE,8,3.5,-1.71,0.57,-1.14,0.03
419,"Juan Hernangomez, PF",DEN,9,13.8,-0.83,0.04,-0.79,0.14
420,"Thon Maker, C",MIL,19,19.1,-1.97,-0.45,-2.42,0.15
421,"Guerschon Yabusele, PF",BOS,7,4.6,-1.55,0.43,-1.12,0.04
422,"Georgios Papagiannis, C",SAC,4,6.3,-1.29,0.16,-1.13,0.03
423,"Josh Magette, PG",ATL,8,8.0,-1.06,-0.31,-1.37,0.06
424,"Jayson Tatum, SF",BOS,22,30.6,0.09,1.44,1.53,1.85
425,"Jonathan Isaac, PF",ORL,12,19.9,-1.44,0.45,-0.99,0.33
426,"Tony Bradley, C",UTAH,6,3.2,-1.72,0.30,-1.42,0.02
427,"Dennis Smith Jr., PG",DAL,20,28.4,-1.23,-1.91,-3.14,0.00
428,"De'Aaron Fox, PG",SAC,21,26.3,-1.58,-3.15,-4.73,-0.51
429,"Bam Adebayo, C",MIA,12,14.3,-2.02,0.13,-1.89,0.09
430,"Malik Monk, SG",CHA,18,17.4,-1.28,-2.09,-3.37,-0.05
431,"Josh Jackson, SF",PHX,23,21.5,-3.02,-1.13,-4.15,-0.31
432,"Jarrett Allen, C",BKN,13,15.4,-1.75,0.65,-1.10,0.21
433,"Lauri Markkanen, PF",CHI,19,30.6,-0.31,0.47,0.16,1.11
434,"Lonzo Ball, PG",LAL,21,33.4,-2.39,0.76,-1.63,0.64
435,"Ike Anigbogu, C",IND,6,2.8,-1.66,0.25,-1.41,0.02
436,"T.J. Leaf, PF",IND,18,11.0,-0.88,-1.37,-2.25,0.11
437,"Markelle Fultz, PG",PHI,4,19.0,-2.17,-0.77,-2.94,0.01
438,"Zach Collins, C",POR,6,5.3,-2.02,0.05,-1.97,0.02
439,"Terrance Ferguson, SG",OKC,13,6.6,-1.38,-0.99,-2.37,0.03
440,"Frank Ntilikina, PG",NY,18,19.0,-1.19,-0.47,-1.66,0.30
"
",,,,,,,,
